numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac,avgsqrtcvMSE,avgsqrtcvErrFrac,avgorigUnitsqrtcvMSE,avgorigUnitsqrtcvErrFrac
300,2,259375.0920832327,0.11441160560642948,27.4619775915699,0.09293252587380223,265144.500607943,0.11649562579627032
600,2,258064.66515526612,0.1137789012455578,27.398075011089308,0.09277073553174568,264722.6808474871,0.11625741564090644
1500,2,257353.96788863215,0.11342952106323051,27.290485144301933,0.09235327162642194,263890.1344604556,0.1158506099553049
2100,2,257404.87375416447,0.11346729703953214,27.293126269166557,0.09236031885353019,263996.3326979322,0.11590150948010569
3000,2,257177.88557538326,0.11337890532493851,27.25380739233873,0.0922282571148618,263536.5299090866,0.11569252243343303
300,3,243253.81065882003,0.10768901473508927,25.354752719392728,0.08631403728068998,245496.32464812533,0.10828300130643234
600,3,241478.75676551255,0.10684085145169994,25.220364084764274,0.08590933083634644,244207.10159497385,0.10777212801045792
1500,3,241435.24395466017,0.10682899183769892,25.15936241207877,0.08567122831656501,243968.33736878936,0.10761583097904902
2100,3,241243.70056100676,0.10681075098305291,25.150233399617914,0.08565990910184186,243905.6545922679,0.10760604393584944
3000,3,241187.5629797009,0.10674415470934079,25.15869037546378,0.0856799436802085,243944.27338813493,0.10762084229381987
300,4,233677.83840640678,0.10377527333527434,24.225321776384167,0.08271952185629813,234262.4915578627,0.103660997391112
600,4,233414.06900036574,0.10358638378780649,24.180525684289137,0.08264637560977559,233825.44269930598,0.1035035018029376
1500,4,232530.9806808261,0.10319059055912531,24.09732808569046,0.08230857451751686,233027.46301798255,0.10310900271452166
2100,4,232646.39843799546,0.10325407727288072,24.085116689996266,0.08227549504136474,232831.6028842075,0.10303353521257969
3000,4,232257.29435349823,0.10307554397099337,24.09387925838507,0.08232344319402822,233018.52256730557,0.10312406372263003
300,5,228722.92274679875,0.10175347761293745,23.655883551496213,0.08115237358064514,228279.7471056723,0.10137184379305436
600,5,228178.58130310677,0.10147116056409795,23.62039344530448,0.08093166948989161,228030.8260028058,0.10116864099394383
1500,5,227376.1386599179,0.10110870029107534,23.53688745046079,0.08063637763920233,227587.47082672283,0.1009892251463178
2100,5,227619.77955835222,0.10123146899796678,23.50103643813788,0.08050406424552134,226909.36462148416,0.100687280915721
3000,5,227476.15735578304,0.10114720758192092,23.518866525253593,0.0805486296123054,227123.00281170398,0.1007591195525083
300,6,226403.40896079683,0.10084133289213412,23.381604753817037,0.08022416893808668,225731.81433794214,0.10039137235315362
600,6,226275.62824258226,0.10080548146276154,23.288541589106668,0.07991899761847115,224379.50525522899,0.09977244708731071
1500,6,225429.713411562,0.10040701340400607,23.263873903840587,0.07981931594604144,224262.613721152,0.09972375369882756
2100,6,225548.1793017579,0.10046755117169608,23.24557535853435,0.07976841402868981,224163.5301094051,0.09966728431557627
3000,6,225393.12454038108,0.10037803144834871,23.252578425659916,0.07979730533673292,224271.33466987885,0.0997325304965066
300,7,226580.23143671424,0.10108947474746674,23.268879674618947,0.07995821061247091,223771.25826992615,0.09968026858481945
600,7,225820.97309380426,0.10073841202828854,23.22997312210549,0.07982781585171392,223864.92022381362,0.0997242154074252
1500,7,225777.8807151177,0.10068047624235786,23.24007864275818,0.07991757922880698,223747.8183965252,0.09971825644116074
2100,7,225764.68785335682,0.10067400798775643,23.195875391397575,0.07973680319001528,223544.43475715886,0.0995854771632985
3000,7,225482.24682886506,0.10054562412690073,23.202500610693136,0.0797964679176859,223546.42497899896,0.09962321215869666
300,8,229034.2042684004,0.10224681806736442,23.44895914242706,0.08071994436832935,225544.7951861995,0.10063795190348158
600,8,227785.89120616077,0.10170351548156702,23.367018112863185,0.08050709335545181,224922.34797474436,0.10043088211811424
1500,8,227495.41369410665,0.10155656598456032,23.328782288804604,0.08035666348759357,224473.72840084875,0.10021152989434096
2100,8,227432.6957688641,0.1015119227970846,23.28840245114354,0.08021620091521213,224089.38713696128,0.10003126153621311
3000,8,227404.85943104292,0.10152294347096855,23.303966122174366,0.08025871641470016,224314.92775690492,0.10013637938163385
300,9,231575.24886290787,0.10342033424287923,23.659527448044443,0.08162311115745946,227180.49116623602,0.10162607869190671
600,9,231347.9579623195,0.10338237258417707,23.59619552863872,0.08137696946924777,226680.3560547015,0.10136190562961742
1500,9,230741.29245653827,0.1030645558774113,23.572587868779493,0.08131730096312581,226478.0117880987,0.10128828209849425
2100,9,230612.66020881274,0.10300295069354357,23.556543056637846,0.08125097815064236,226218.74189955878,0.10117986085403521
3000,9,230658.2811227499,0.10305368804140334,23.553142719032735,0.08121610532224967,226445.45545657584,0.10125170991759236
300,10,236170.2789019648,0.10559298910641142,24.059847907728837,0.08318026513668075,230691.41610585977,0.1033902912430184
600,10,235245.3301677087,0.10520043978305556,23.893484919891932,0.08256322488248759,229234.78921118408,0.1027203561389264
1500,10,234786.49955798808,0.1049833458901096,23.864302316004583,0.08244118322903592,228962.44185463618,0.10257968273301947
2100,10,234509.28705970733,0.10485490955902117,23.865990590617294,0.08241538485379979,228988.5622868115,0.1025524377118277
3000,10,234562.23637880103,0.104891821886951,23.88057585422518,0.08247357562404102,228981.5952561282,0.1025677247067316
300,11,240671.15597014007,0.10771842927503052,24.457881189556907,0.084588796924730425,234206.8599067154,0.10503796950308045
600,11,240417.55829607014,0.10759360008340224,24.34811816001192,0.08425781451754269,232893.95544300604,0.10449342863990761
1500,11,239671.90332761026,0.10723323362232326,24.31714132692813,0.08408237043937175,232680.18630105315,0.10440430209120205
2100,11,239488.264502456,0.10715574022657753,24.30801395287193,0.08409585745864727,232536.2689711381,0.10434470062780782
3000,11,239744.3881383888,0.10724114127504163,24.32132961848571,0.08411072521595081,232762.34532616372,0.10441843134784642
300,12,245752.73403554753,0.11003685462660263,24.934329637575804,0.08640259317048109,237949.03936395768,0.10692691281150919
600,12,246032.6833737851,0.11019231098895917,24.841635085356444,0.08607428432710605,237065.15950611836,0.10651551119329868
1500,12,244737.45332133907,0.1095591813625247,24.857961146666984,0.08610911739203932,237184.57409595713,0.1065845730527329
