Sample	Actual Collected ADD	Season1	Location	Sample Type	Collection	DaysCollectionADD	ADDCollectionDays	Days	ADD_Days	ADD	Season	Temp	SpCond	Sal	Orp	DO	pH	Dosat
HLS5C7CS	1738	Summer	Henley Lake	Scapula	Collection 7	227/Collection7/1738	1738/Collection7/227	227	1738/227	1738	2	10.14621735	84.46232541	0.039320021	-7.359822591	0.736448398	5.517705282	6.54335022
HLS1C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249	249	1980/249	1980	2	10.74245453	90.43030294	0.042201789	-269.9483236	0.185681395	6.13936615	1.670900981
HLS2C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249	249	1980/249	1980	2	10.74245453	90.43030294	0.042201789	-269.9483236	0.185681395	6.13936615	1.670900981
HLS3C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249	249	1980/249	1980	2	10.74245453	90.43030294	0.042201789	-269.9483236	0.185681395	6.13936615	1.670900981
HLS4C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249	249	1980/249	1980	2	10.74245453	90.43030294	0.042201789	-269.9483236	0.185681395	6.13936615	1.670900981
HLS5C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249	249	1980/249	1980	2	10.74245453	90.43030294	0.042201789	-269.9483236	0.185681395	6.13936615	1.670900981
HLS1C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269	269	2224/269	2224	2	11.6620636	93.90795771	0.043863381	-254.2470296	0	6.381392161	0
HLS2C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269	269	2224/269	2224	2	11.6620636	93.90795771	0.043863381	-254.2470296	0	6.381392161	0
HLS3C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269	269	2224/269	2224	2	11.6620636	93.90795771	0.043863381	-254.2470296	0	6.381392161	0
HLS4C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269	269	2224/269	2224	2	11.6620636	93.90795771	0.043863381	-254.2470296	0	6.381392161	0
HLS5C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269	269	2224/269	2224	2	11.6620636	93.90795771	0.043863381	-254.2470296	0	6.381392161	0
HLS1C10CS	2496	Summer	Henley Lake	Scapula	Collection 10 	291/Collection10/2496	2496/Collection10/291	291	2496/291	2496	2	12.64362335	111.425992	0.052310787	-140.3325399	0	7.380640666	0
HLS2C10CS	2496	Summer	Henley Lake	Scapula	Collection 10 	291/Collection10/2496	2496/Collection10/291	291	2496/291	2496	2	12.64362335	111.425992	0.052310787	-140.3325399	0	7.380640666	0
HLS3C10CS	2496	Summer	Henley Lake	Scapula	Collection 10 	291/Collection10/2496	2496/Collection10/291	291	2496/291	2496	2	12.64362335	111.425992	0.052310787	-140.3325399	0	7.380640666	0
HLS4C10CS	2496	Summer	Henley Lake	Scapula	Collection 10 	291/Collection10/2496	2496/Collection10/291	291	2496/291	2496	2	12.64362335	111.425992	0.052310787	-140.3325399	0	7.380640666	0
HLS2C11CS	2784	Fall	Henley Lake	Scapula	Collection 11	310/Collection11/2784	2784/Collection11/310	310	2784/310	2784	3	13.77662659	88.00323232	0.040928256	-162.6180013	0	7.67729187	0
