numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
600,2,433058.20560939756,0.1906158270010325
1500,2,431688.72263026034,0.1899638856360662
2100,2,431765.507740874,0.1899959667437421
3000,2,431773.5882813252,0.19001257183860487
600,3,383436.47465570713,0.16894930607132663
1500,3,382148.8073986318,0.16839707609444446
2100,3,381776.8207148149,0.16821593929282383
3000,3,381841.78989521635,0.1682372461686885
600,4,356701.96384364786,0.1574359718170672
1500,4,355705.8880343898,0.15698702149617438
2100,4,355423.51078511303,0.156858979751726
3000,4,355418.21762062947,0.15684459942722082
600,5,341488.5198963723,0.15086989696223504
1500,5,340856.93666790356,0.15058109561689964
2100,5,340708.84053413087,0.15052554472618312
3000,5,340606.32973163034,0.1504805845267095
600,6,332426.50784152705,0.14704842459651596
1500,6,331651.05820684024,0.1467137488697746
2100,6,331412.611896226,0.14661034028247089
3000,6,331270.9000749699,0.14654648052750036
600,7,326544.19139675883,0.1446141988574143
1500,7,325925.55827487214,0.14433819238077017
2100,7,325796.7101588547,0.14427307985961105
3000,7,325806.6847716202,0.14428265749301064
600,8,323557.03126951354,0.143421257072942
1500,8,322688.33577835775,0.14303562634292433
2100,8,322521.59386403917,0.1429632329754551
3000,8,322417.8687209021,0.14292557900422637
600,9,321979.1697443152,0.14288360956893323
1500,9,321300.11473944254,0.14257160995231705
2100,9,321073.6462814841,0.14245961335491342
3000,9,321027.17454076593,0.1424305357275137
600,10,321368.2307384553,0.14271253949207707
1500,10,320877.98668565456,0.1424796754765865
2100,10,320711.48212974594,0.1423995386636125
3000,10,320621.5950845095,0.1423618389944272
600,11,321823.7725825535,0.14304220067253492
1500,11,321257.6674469668,0.14278498947473697
2100,11,321152.66852807853,0.14273920728613157
3000,11,321038.1790398701,0.1426845505333851
600,12,323248.673286162,0.14377277108327416
1500,12,322888.9142445697,0.14361515776713793
2100,12,322818.5920079024,0.1435871087555171
3000,12,322591.4064323061,0.14348565652407497
600,13,325421.2058825234,0.14485086521160193
1500,13,324712.7672810534,0.14452159424782943
2100,13,324595.7881703246,0.14446883940045854
3000,13,324521.10682431853,0.14444214430738386
600,14,328080.16507926583,0.14614719603551368
1500,14,327467.2470389364,0.14583740572270906
2100,14,327316.8363170702,0.14577395177296448
3000,14,327241.71379455726,0.14574377317096335
600,15,330844.26216003834,0.1474563139438807
1500,15,330223.0924734243,0.14717770472249958
2100,15,330124.8588337654,0.14714434791164888
3000,15,330127.9590469539,0.14713842641938765
600,16,334243.675802907,0.14906784601685935
1500,16,333854.42901274905,0.1488863869852427
2100,16,333671.40576989733,0.14880472121488414
3000,16,333615.2254912452,0.1487808304471863
600,17,338245.6287821966,0.1509656897866245
1500,17,337991.43672282045,0.15084101383710455
2100,17,337866.15411642595,0.15077220897335858
3000,17,337877.85691901244,0.1507738480442786
600,18,342851.09849755355,0.15306785758853564
1500,18,342300.11319851293,0.1528110512264288
2100,18,342326.34364739247,0.15283036952836151
3000,18,342097.5593773769,0.15272935663248294
600,19,347997.96833137283,0.1554508745669463
1500,19,347511.58732853044,0.15524459479862765
2100,19,347473.18712936784,0.155225286474544
3000,19,347473.2127728561,0.1552225347327001
600,20,353972.7925809707,0.1582114393704453
1500,20,353083.1258837406,0.1578260055905031
2100,20,352933.7234015818,0.1577570826298264
3000,20,353031.57871440926,0.15780962561479284
600,21,359465.51506631123,0.1607339098537457
1500,21,359367.9881071781,0.1607206625452805
2100,21,359206.67375462677,0.1606528440254226
3000,21,359214.42283610866,0.1606566851315841
600,22,367391.26377997856,0.16444901451188107
1500,22,367247.5301737068,0.16435715969082845
2100,22,367114.3945179899,0.16429061358290045
3000,22,367088.7554398657,0.16427528003000336
600,23,376275.4323467193,0.16850286863675992
1500,23,375932.406221433,0.16834262653046647
2100,23,375861.0273060874,0.16830838247290916
3000,23,375704.42372252076,0.16822827396142748
