numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac,avgsqrtcvMSE,avgsqrtcvErrFrac,avgorigUnitsqrtcvMSE,avgorigUnitsqrtcvErrFrac
300,2,445742.45043678896,0.14246241879651278,32.325962022546626,0.10149702001738993,500642.0884165036,0.15822454664118366
600,2,445124.85221397324,0.14213758936940854,32.304723963141235,0.10159167387931355,500890.0470336989,0.15846644038277985
1500,2,444223.09143334173,0.14185734071923325,32.21112477408401,0.1012119980610074,499717.55051257735,0.15798301076071988
2100,2,443610.75471960515,0.14171107833729674,32.1937394196479,0.10113375759900581,499317.47442184394,0.15784744148804986
3000,2,442960.29952125193,0.141538941581648,32.17794848816578,0.1010688026242423,499194.666334134,0.15779083197106838
300,3,390888.08638372744,0.12535744234523627,28.665284263327322,0.09021431050839432,443659.39373209066,0.14059646385138452
600,3,389595.8132876183,0.12484779615869432,28.512827460050445,0.08969539018057708,441716.3287409056,0.1399160331465273
1500,3,389688.828164897,0.12484767543462034,28.387935610698268,0.08943813147060392,440463.31573250523,0.13961943869752305
2100,3,388881.92389366456,0.12457601787704901,28.366778340723574,0.08935425393481121,439983.11279737134,0.13945523311360963
3000,3,388639.5514420777,0.12451565920615584,28.385631461402088,0.08940545428220203,440506.7226966163,0.13961576301979026
300,4,361214.40258880885,0.11611080540420435,26.612232953529475,0.0840731304574095,410766.79875937203,0.1306546438547339
600,4,359746.0536307066,0.11556308372197352,26.469823608881075,0.0835999112052446,409342.5517303464,0.13018816831116725
1500,4,358767.5810759418,0.11522533237470789,26.446940843536773,0.08347332342815283,409256.268777681,0.13001874132492428
2100,4,359007.7889077882,0.1152979980684441,26.42439231555592,0.08340706172006414,408746.2661890309,0.12991815579096663
3000,4,358687.02406051464,0.1152260985515014,26.418602933529566,0.08336154108841679,408637.47584580653,0.12984134751980064
300,5,340979.98084631935,0.10991436465431514,25.555796924702136,0.08071410651759486,393878.31760219706,0.1253677293362014
600,5,340683.08521838934,0.1096005058248277,25.373063247664575,0.08015830866848335,390902.6871009594,0.12447183027601051
1500,5,339407.7342338131,0.10920513902551564,25.295336958070575,0.07994381765541893,389959.8080370468,0.12416380402205075
2100,5,339463.21168725565,0.10925844082160868,25.31277625027545,0.08001012505607265,390239.7533640806,0.12426549166614861
3000,5,339544.7231486885,0.10932037538249254,25.2975040265368,0.0799580141018493,390163.9512520065,0.12424777169098265
300,6,329275.87761927495,0.10620300255488366,24.81268746419099,0.0784780528011418,381035.33893722837,0.12148374046503965
600,6,327114.5429017016,0.10546444220325037,24.72860509626285,0.07830255961418875,379688.6984221113,0.12117881275436951
1500,6,326331.0706297575,0.10519732286944501,24.572441352686692,0.07775408941420883,377589.18176577985,0.12045842080367138
2100,6,325573.79036868515,0.10495868559021222,24.59564738604152,0.07784693666674844,378033.1329022121,0.12060951037074422
3000,6,325595.7516761543,0.10497005633838477,24.563155731955202,0.07773085295949375,377526.3768334629,0.12045495528172726
300,7,317965.3273249337,0.10268562770110266,24.262678119917467,0.07690358937133593,370973.0495737026,0.11855288441531533
600,7,316220.7075832202,0.10208787191666654,24.177051715435674,0.07661801283955495,369964.37434127624,0.11822313867148479
1500,7,315639.477173114,0.10191179148960781,24.125175060825455,0.07642009138092383,369530.00550899917,0.11804834368957327
2100,7,315453.2160530778,0.1018657681679492,24.119508309907694,0.07641553617088297,369529.453191267,0.1180998665867099
3000,7,315139.1371394319,0.10174572178554565,24.07307789031943,0.0762562972112235,368861.7531231683,0.11784431202874311
300,8,309101.1628802603,0.09997924665442652,23.953319054696664,0.07596446965093549,365353.1894002984,0.11697190626529926
600,8,308126.81313433906,0.09966856436927042,23.91500585553443,0.07582495328246326,365353.6856980889,0.11686470096114511
1500,8,307680.07031410944,0.0995028442962342,23.84764719137958,0.0756217583328436,364419.30518214457,0.11658396773249921
2100,8,307459.24937505694,0.09940504866203853,23.77775276049044,0.07543209648759133,363419.815893636,0.11630967278841521
3000,8,307292.2087778562,0.09935261803868564,23.783221350527192,0.0754210542955864,363578.0966320163,0.11633080551785872
300,9,302664.4954646568,0.0980084540945918,23.700276409584006,0.07522942953590481,360354.067741281,0.1154304303103057
600,9,301303.3595302801,0.09756119403804912,23.667184286894447,0.07509923620506652,360194.89506102377,0.11536878394120716
1500,9,300846.24672510434,0.0973875391442551,23.62982965018602,0.07501048025584113,360181.5225656207,0.11538504816065862
2100,9,300659.43623185763,0.09733583878810678,23.581686708208878,0.07485157244980031,359437.0141787652,0.11514413260623801
3000,9,300220.7499995531,0.09718115348768408,23.570038748423098,0.07484135319083739,359410.0839579915,0.11515061122769607
300,10,296801.8713972032,0.09616335726855206,23.61249048544265,0.07496924522198757,358800.10110582033,0.11508464090802845
600,10,295345.21236117743,0.09569564010991163,23.589624663085395,0.07491857967429008,358624.8566288353,0.11500232680097024
1500,10,294956.2610534909,0.09555321742737918,23.46593560184779,0.07451684519041102,356994.65545439604,0.11444250286115717
2100,10,294997.440255362,0.09557981838886957,23.47223570240952,0.07455168185720029,357098.9110835073,0.1145005754523233
3000,10,294716.3482290863,0.0954842833654878,23.464219679926835,0.07450888369378042,357080.1476240431,0.11445786200635458
300,11,291811.6023989587,0.09462799201531423,23.596116751250815,0.07496765855145861,358367.1718950199,0.11495586149286048
600,11,290412.3127674251,0.0941539466992774,23.47743787182738,0.07460341767395813,356272.7761384864,0.11428176327455984
1500,11,290061.6461760163,0.09404699417329361,23.382909729722684,0.07431802987211576,354986.44474677515,0.11388891560029968
