Sample	Actual Collected ADD	Season	Location	Sample Type	Collection	DaysCollectionADD	ADDCollectionDays
HLS3C13CS	3434	Fall	Henley Lake	Scapula	Collection 13	353/Collection13/3434	3434/Collection13/353
HLS5C13CS	3434	Fall	Henley Lake	Scapula	Collection 13	353/Collection13/3434	3434/Collection13/353
HLS1C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373
HLS2C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373
HLS3C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373
HLS4C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373
HLS5C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373
HLS1C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422
HLS2C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422
HLS3C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422
HLS4C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422
HLS5C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422
HLS1C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477
HLS2C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477
HLS3C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477
HLS4C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477
HLS5C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477
HLS1C17CS	4527	Spring	Henley Lake	Scapula	Collection 17	520/Collection17/4527	4527/Collection17/520
HLS2C17CS	4527	Spring	Henley Lake	Scapula	Collection 17	520/Collection17/4527	4527/Collection17/520
HLS4C17CS	4527	Spring	Henley Lake	Scapula	Collection 17	520/Collection17/4527	4527/Collection17/520
HLS5C17CS	4527	Spring	Henley Lake	Scapula	Collection 17	520/Collection17/4527	4527/Collection17/520
HLS1C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556
HLS2C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556
HLS3C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556
HLS4C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556
HLS5C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556
HLS1C19CS	5200	Spring	Henley Lake	Scapula	Collection 19	579/Collection19/5200	5200/Collection19/579
HLS2C19CS	5200	Spring	Henley Lake	Scapula	Collection 19	579/Collection19/5200	5200/Collection19/579
HLS3C19CS	5200	Spring	Henley Lake	Scapula	Collection 19	579/Collection19/5200	5200/Collection19/579
HLS5C19CS	5200	Spring	Henley Lake	Scapula	Collection 19	579/Collection19/5200	5200/Collection19/579
