fullRMSE,fullRsq
448.4800568574486,0.9159129315969436
449.65430149664166,0.9154720288165643
449.8279664355091,0.9154067236269672
448.93439536099686,0.9157424743212397
451.79943914191784,0.914663600438104
443.527505518169,0.9177598191872098
449.51445865793244,0.9155245971709133
448.1257326186844,0.9160457460512412
447.12406968426654,0.9164206402998697
451.3701413619741,0.9148256959107063
445.42053829504596,0.9170562975599349
445.9245902105005,0.9168684679289235
443.93984538981636,0.917606833551052
451.5883480800671,0.9147433240562358
444.88145657941976,0.9172569455847824
448.63240035552303,0.9158557950814082
450.23153412267834,0.9152548681196677
443.97234381137025,0.9175947699983331
449.6814047656864,0.9154618385286803
452.3762040441834,0.9144455813248591
448.7658494959098,0.9158057289610041
455.5767497530788,0.9132307098905701
450.48002952018146,0.9151612958791621
447.9928050737373,0.9160955453681845
455.07348693628904,0.9134223071926868
446.19433012291245,0.9167678649355863
450.69123272371627,0.9150817256194018
444.16467006433027,0.917523359595808
447.2624951646708,0.9163688814941596
445.42420867156306,0.9170549306006422
448.4380327139764,0.9159286893610329
444.2541973358669,0.9174901077266663
447.3883518135418,0.916321808406936
448.8021081317544,0.9157921232343494
450.8096383355612,0.9150371002958837
449.16237003074735,0.9156568784793004
450.60910169078664,0.9151126727051058
450.66716500512797,0.9150907949529562
446.18260846081535,0.9167722379456498
454.1031942724483,0.9137911097949125
449.84999743246624,0.9153984372597711
453.76683157312476,0.9139187755585672
450.7698941010557,0.9150520806169375
449.38309491300157,0.9155739632528765
447.54245141596033,0.9162641538133001
455.6600135634913,0.9131989900894926
454.87285139943094,0.9134986321518679
442.20720079559845,0.9182487200228633
447.22344930414215,0.9163834827920018
453.1573579863449,0.9141498589939017
446.1904678751167,0.91676930584022
451.84633780010086,0.9146458829731963
446.87054844002137,0.9165153931326228
446.8595446461477,0.9165195045519067
452.42961319108906,0.9144253784131509
454.2952600440714,0.9137181691997601
447.70749923316157,0.9162023810496844
451.1998057908545,0.9148899689978591
454.93038740060075,0.9134767479811666
452.83616025224086,0.9142715169467067
450.6224370833238,0.9151076482944712
452.7856979606202,0.91429062237623
450.38519040310763,0.9151970141365947
451.59622289295027,0.9147403506127149
442.7526759169798,0.9180469105867809
449.7204665232145,0.9154471510074524
448.9975941830426,0.9157187499141162
449.81887760816227,0.9154101420267717
451.31994463909416,0.9148446392692063
447.5004641501226,0.9162798648337829
449.13312118803344,0.9156678627403967
446.75289833028626,0.9165593462651374
449.1964425058776,0.9156440818244537
446.9361205509063,0.9164908908978966
452.7965372423437,0.9142865187165312
448.73058921794103,0.9158189590085898
447.3929892637371,0.91632007364806
446.9543511665702,0.9164840780517093
450.09316629254573,0.915306948870446
452.03921450568856,0.914572998307718
453.5232479907932,0.9140111681431399
445.65891686652355,0.9169674947753533
450.9195787929825,0.9149956548685623
449.61615043790755,0.9154863718119571
447.3014234072091,0.9163543229108713
445.793155553159,0.9169174661426067
444.5262713707164,0.9173890139223294
454.6028001632719,0.9136013108105829
450.4390776085808,0.9151767200887336
447.596018351151,0.9162441077101087
447.17259810361907,0.91640249681532715
451.23965381455173,0.9148749352312282
448.8647675242476,0.9157686082702337
450.1555202343064,0.9152834812340864
449.68271391977686,0.9154613462973369
451.18521747836337,0.914895472509343
445.59786266218543,0.9169902437257066
450.7778237126942,0.9150490919083134
452.98121667810886,0.9142165855602268
451.4732205966872,0.9147867890190589
447.0195128318977,0.9164597246328882
448.95149237877797,0.915736056546793
450.6633895594896,0.9150922175937428
449.10482245829746,0.9156784895103426
446.4817428704302,0.9166606036837663
451.7249950916864,0.9146917202774992
445.93536856880695,0.9168644491675111
450.877170518258,0.9150116431656939
444.20992473668116,0.9175065521199587
448.8633967804738,0.9157691227213014
449.3310395802321,0.9155935214914691
447.7570035466796,0.9161838485347953
449.4891540881542,0.9155341076705993
452.54807919228574,0.914380558135372
446.21508587615267,0.9167601212879386
450.6729300655517,0.9150886225744623
447.4286888839103,0.9163067186744879
444.27860572417063,0.917481040895889
447.9605310675591,0.916107634112981
450.80052497673955,0.9150405354024088
452.0145067111803,0.9145823366794844
453.7298222221389,0.9139328166039199
452.18436188374807,0.9145181291918508
450.8965264031578,0.9150043460113013
450.3969322128087,0.91519259235043
448.8568772469055,0.9157715695327269
447.4193909226304,0.9163101970781883
448.4100865052819,0.9159391675141443
451.597656992877,0.9147398091066309
444.51174080641437,0.9173944145688318
452.5999988840068,0.9143609112062064
448.74932080552185,0.9158119308384968
450.63110785478887,0.9151043813055156
450.73073717087317,0.9150668382807455
449.21213960989354,0.9156381861109855
452.1062701176302,0.9145476519016357
449.8669752600558,0.9153920512294991
440.7583429148851,0.9187835459888753
448.14637854930373,0.9160380100365274
444.01976683461686,0.9175771647852857
450.378256168524,0.9151996254092701
449.1551022569756,0.9156596079232968
448.9633379424989,0.9157316098878705
447.4453299461621,0.9163004930075195
450.15813138160104,0.9152824984272989
447.97738306132345,0.9161013220380503
447.4730423012802,0.9162901248926472
448.5999095192677,0.9158679824160008
446.8396777760264,0.9165269272837837
454.0666380654954,0.913804989209202
446.29316130740153,0.9167309893369762
450.8313329488765,0.9150289226463831
450.5902329550186,0.9151197816738672
446.85579759427924,0.9165209045642314
448.0266048776721,0.9160828841777989
448.19830035142024,0.9160185534010254
445.6428124141671,0.916973495637507
445.16515132001797,0.9171513837392162
445.18797952210633,0.9171428865177155
453.4602667116746,0.9140350492147411
447.71631995522034,0.9161990790599316
450.85696802569356,0.9150192591564467
451.8113628859886,0.914659096037579
447.63137792551726,0.9162308739476932
448.8928062018119,0.9157580847862437
